start ,1,128,54,43,65,43,105,173,31,88,82,0,0,0,0,0,0,0,0
start ,1,175,55,70,51,70,91,154,57,64,163,0,0,0,0,0,0,0,0
status,1,120,109,70,51,70,91,154,57,64,163,0,0,0,0,0,0,0,0
goal  ,1,120,109,70,51,70,91,154,57,64,163,0,0,0,0,0,0,0,0
start ,1,46,17,32,83,32,123,100,11,66,123,0,0,0,0,0,0,0,0
start ,1,120,163,59,137,59,97,95,91,17,125,0,0,0,0,0,0,0,0
status,1,69,144,59,137,59,97,95,91,17,125,0,0,0,0,0,0,0,0
goal  ,1,69,144,59,137,59,97,95,91,17,125,0,0,0,0,0,0,0,0
start ,1,129,190,104,103,64,103,137,50,9,21,0,0,0,0,0,0,0,0
start ,1,0,107,104,174,144,174,149,196,180,173,0,0,0,0,0,0,0,0
status,1,90,140,104,174,144,174,149,196,180,173,0,0,0,0,0,0,0,0
goal  ,1,90,140,104,174,144,174,149,196,180,173,0,0,0,0,0,0,0,0
start ,1,13,183,109,105,149,105,124,87,40,159,0,0,0,0,0,0,0,0
start ,1,189,126,2,7,42,7,88,106,12,79,0,0,0,0,0,0,0,0
status,1,101,103,2,7,42,7,88,106,12,79,0,0,0,0,0,0,0,0
goal  ,1,101,103,2,7,42,7,88,106,12,79,0,0,0,0,0,0,0,0
start ,1,188,100,54,138,54,178,171,186,72,122,0,0,0,0,0,0,0,0
start ,1,170,19,97,181,137,181,99,18,159,169,0,0,0,0,0,0,0,0
status,1,165,94,97,181,137,181,99,18,159,169,0,0,0,0,0,0,0,0
goal  ,1,165,94,97,181,137,181,99,18,159,169,0,0,0,0,0,0,0,0
start ,1,93,47,164,110,164,70,27,173,51,44,0,0,0,0,0,0,0,0
start ,1,190,161,62,131,102,131,101,8,119,146,0,0,0,0,0,0,0,0
start ,1,31,139,186,80,186,120,159,140,21,108,0,0,0,0,0,0,0,0
start ,1,68,91,186,75,186,35,19,194,12,142,0,0,0,0,0,0,0,0
start ,1,100,73,4,97,4,57,11,73,152,54,0,0,0,0,0,0,0,0
start ,1,170,62,19,57,19,17,76,2,29,187,0,0,0,0,0,0,0,0
<<<<<<< HEAD
start ,1,36,22,71,72,71,32,170,39,153,6,0,0,0,0,0,0,0,0
start ,1,65,129,62,96,62,56,18,106,136,36,0,0,0,0,0,0,0,0
=======
start ,1,8,146,132,166,132,126,124,171,96,73,0,0,0,0,0,0,0,0
start ,1,174,85,167,72,167,112,188,196,80,190,0,0,0,0,0,0,0,0
start ,1,120,143,32,43,72,43,97,1,124,98,0,0,0,0,0,0,0,0
start ,1,73,112,118,64,118,24,68,91,153,11,0,0,0,0,0,0,0,0
start ,1,105,14,10,189,10,149,92,57,197,88,0,0,0,0,0,0,0,0
start ,1,97,195,107,58,147,58,105,0,57,5,0,0,0,0,0,0,0,0
start ,1,154,28,40,175,40,135,101,31,1,117,0,0,0,0,0,0,0,0
start ,1,112,96,55,100,55,60,173,64,131,184,0,0,0,0,0,0,0,0
start ,1,48,93,77,158,77,118,144,191,161,158,0,0,0,0,0,0,0,0
start ,1,43,164,117,57,157,57,5,144,130,130,0,0,0,0,0,0,0,0
start ,1,123,116,160,99,160,139,155,55,132,134,0,0,0,0,0,0,0,0
start ,1,187,94,144,20,184,20,162,81,187,56,0,0,0,0,0,0,0,0
start ,1,69,149,8,30,8,70,119,41,164,117,0,0,0,0,0,0,0,0
start ,1,169,1,1,78,1,38,67,138,163,90,0,0,0,0,0,0,0,0
start ,1,77,26,11,184,11,144,72,125,100,129,0,0,0,0,0,0,0,0
start ,1,120,97,4,31,44,31,112,26,117,144,0,0,0,0,0,0,0,0
start ,1,54,166,175,2,175,42,15,37,68,91,0,0,0,0,0,0,0,0
start ,1,31,95,119,55,119,15,165,58,62,24,0,0,0,0,0,0,0,0
start ,1,130,9,100,51,100,91,168,74,158,166,0,0,0,0,0,0,0,0
start ,1,54,45,80,59,40,59,33,156,14,79,0,0,0,0,0,0,0,0
start ,1,128,78,68,192,68,152,148,26,31,192,0,0,0,0,0,0,0,0
start ,1,30,68,70,72,110,72,97,112,75,186,0,0,0,0,0,0,0,0
start ,1,89,75,32,120,72,120,124,36,74,74,0,0,0,0,0,0,0,0
start ,1,39,92,54,123,14,123,188,182,78,186,0,0,0,0,0,0,0,0
start ,1,177,100,78,88,118,88,129,36,26,77,0,0,0,0,0,0,0,0
start ,1,119,152,2,17,42,17,150,21,57,177,0,0,0,0,0,0,0,0
start ,1,9,148,85,89,125,89,67,5,170,121,0,0,0,0,0,0,0,0
start ,1,5,4,47,131,47,91,46,28,170,118,0,0,0,0,0,0,0,0
start ,1,87,63,32,190,32,150,173,71,48,11,0,0,0,0,0,0,0,0
start ,1,40,79,160,30,160,70,80,145,122,157,0,0,0,0,0,0,0,0
start ,1,67,88,91,5,131,5,71,70,84,12,0,0,0,0,0,0,0,0
start ,1,129,110,53,112,13,112,117,71,185,48,0,0,0,0,0,0,0,0
start ,1,164,110,130,142,170,142,195,86,151,21,0,0,0,0,0,0,0,0
start ,1,124,100,33,145,33,105,78,136,129,21,0,0,0,0,0,0,0,0
start ,1,115,68,160,109,160,149,184,16,43,84,0,0,0,0,0,0,0,0
start ,1,13,185,41,102,41,62,28,72,177,60,0,0,0,0,0,0,0,0
start ,1,107,36,54,177,54,137,24,100,156,55,0,0,0,0,0,0,0,0
start ,1,87,176,74,120,114,120,41,180,163,41,0,0,0,0,0,0,0,0
start ,1,154,33,14,174,54,174,124,136,72,46,0,0,0,0,0,0,0,0
start ,1,122,171,21,37,61,37,46,82,184,77,0,0,0,0,0,0,0,0
start ,1,0,133,92,66,92,26,182,193,118,39,0,0,0,0,0,0,0,0
start ,1,174,58,186,7,186,47,197,183,161,99,0,0,0,0,0,0,0,0
start ,1,41,3,12,26,52,26,35,77,16,48,0,0,0,0,0,0,0,0
start ,1,39,114,141,13,181,13,194,36,101,143,0,0,0,0,0,0,0,0
start ,1,144,96,148,21,148,61,89,170,53,85,0,0,0,0,0,0,0,0
start ,1,179,141,117,135,117,175,93,54,79,115,0,0,0,0,0,0,0,0
start ,1,41,55,76,153,76,113,87,192,59,61,0,0,0,0,0,0,0,0
start ,1,17,100,25,192,65,192,147,99,97,89,0,0,0,0,0,0,0,0
